year,month,rides,passengers,distance,cost,YM,rides_z,cost_z
2013,7,13793367,23785197,40038477.480000004,203531227.37000042,2013-07-01,0.7965059887004047,0.9721548883009993
2013,8,11642847,19440720,954009924.8499999,174970148.52000043,2013-08-01,0.33014006175367466,0.47276929783046256
2013,9,14029819,24001425,41843000.17,213860188.53000054,2013-09-01,0.8477834267890568,1.1527550118090752
2013,10,14981539,25394411,44167356.53,227535080.48000062,2013-10-01,1.0541752668992357,1.3918581642823082
2013,11,14306023,24384290,41084518.04,213447802.41000053,2013-11-01,0.9076815604899267,1.1455445108640785
2013,12,13885735,23924308,40585338.160000004,210068576.99000055,2013-12-01,0.8165370918476508,1.086459330974253
2014,1,13642197,23210213,37947871.330000006,197159891.00000045,2014-01-01,0.7637229700925623,0.8607531589780594
2014,2,12951183,21963693,35975554.410000004,189039316.60000044,2014-02-01,0.6138683374255015,0.7187663011635504
2014,3,15322662,25962068,58491121.22,226114363.2800006,2014-03-01,1.1281518605128034,1.3670171664495652
2014,4,14594340,24781824,42401299.89,219591363.6400006,2014-04-01,0.9702065428009493,1.2529636307281549
2014,5,14740632,25055220,44652820.440000005,230307724.2900007,2014-05-01,1.0019317088932855,1.4403373682190102
2014,6,13717335,23312794,65194692.65,214603000.56000066,2014-06-01,0.7800175421118523,1.1657429534116464
2014,7,13079646,22267757,39160030.970000006,199946758.38000062,2014-07-01,0.6417270720912371,0.9094810596093222
2014,8,12646373,21629943,672387594.43,205958631.04000065,2014-08-01,0.5477666512321004,1.014597627296253
2014,9,13380671,22511264,407215771.98,209804788.60000065,2014-09-01,0.7070079358633199,1.0818470359838845
2014,10,14289649,24033811,194211512.28,224378029.62000078,2014-10-01,0.9041306631777297,1.3366576686656473
2014,11,13209276,22282005,214476891.3,204879601.28000066,2014-11-01,0.6698388846342986,0.9957309760516387
2014,12,13092145,22177867,396322354.21999997,205901157.70000064,2014-12-01,0.644437629408029,1.0135927157527167
2015,1,12611579,21190190,166833458.85,190398684.1900121,2015-01-01,0.5402211570901326,0.7425346115333977
2015,2,12341892,20600714,117574907.16,190090649.92001227,2015-02-01,0.4817363126150835,0.7371486848806647
2015,3,13239587,22114194,231990882.49000004,209865517.42001352,2015-03-01,0.676412186724808,1.0829088690399808
2015,4,13036814,21860352,411165060.53999996,209037715.97001266,2015-04-01,0.6324384417213813,1.06843490192998
2015,5,13114293,22114591,179244597,215413400.5100132,2015-05-01,0.649240687528863,1.179912658263475
2015,6,12302202,20691883,145668599.47,201344768.9800119,2015-06-01,0.47312906244279224,0.9339250364155663
2015,7,11530320,19555593,84251823.37999998,186118283.0900103,2015-07-01,0.30573723887291343,0.6676925286414506
2015,8,11050886,18763805,87054177.59999998,178500571.2900098,2015-08-01,0.2017662542646426,0.5344981375872198
2015,9,11199457,18830840,79126664.14,184689908.87000996,2015-09-01,0.23398564870524424,0.6427176491204777
2015,10,12279536,20558399,51967770.73,202909326.8500115,2015-10-01,0.46821366983999174,0.9612810638204999
2015,11,11200523,18721305,102744893.24999999,183221241.74000996,2015-11-01,0.234216823527206,0.6170382549431209
2015,12,11433784,19247576,58785595.53999999,187775527.20001075,2015-12-01,0.28480225518351293,0.6966691591382498
2016,1,10789100,18010735,48657956.730000004,168662372.15000817,2016-01-01,0.14499483593248264,0.36247890426276014
2016,2,11359036,18805020,44272397.73,177226972.79000932,2016-02-01,0.26859225931859926,0.512229485121904
2016,3,12186213,20227355,73115929.99999999,195564490.8000109,2016-03-01,0.447975463545491,0.8328578586957104
2016,4,11890536,19731272,47077691.48,192587665.12001026,2016-04-01,0.38385437739803446,0.780808569600492
2016,5,11754723,19533584,72087135.03,195737028.13001043,2016-05-01,0.3544017075152079,0.835874644471645
2016,6,11113127,18418588,33828766.080000006,187050301.33000955,2016-06-01,0.21526395791729006,0.6839887085426289
2016,7,10255261,17124231,36256972.940000005,170173707.3600081,2016-07-01,0.029225477788724186,0.3889043425386929
2016,8,9923802,16525452,39158725.53,163364258.43000776,2016-08-01,-0.04265536209178666,0.2698422898569125
2016,9,10093731,16620859,93145737.8,173340047.68000787,2016-09-01,-0.005804230458446405,0.44426726277844286
2016,10,10793780,17768531,59448333.92,179780179.74000883,2016-10-01,0.1460097497849977,0.5568718730028152
2016,11,10074983,16513819,30045520.51,167547061.470008,2016-11-01,-0.009869958002667009,0.3429778873223588
2016,12,10424016,17218826,30100410.900000006,168990119.69000876,2016-12-01,0.06582201351119848,0.3682095140778883
2017,1,9614444,15651889,27012942.310000002,148636442.0400062,2017-01-01,-0.1097433363623754,0.01232893320503026
2017,2,9152278,14875531,25624972.340000004,143059536.3500056,2017-02-01,-0.2099695490891868,-0.0851823112275113
2017,3,10275257,16629133,29615552.840000004,166656617.24000743,2017-03-01,0.03356184902694881,0.3274086218924603
2017,4,9995109,16259664,29518006.76,163416100.90000746,2017-04-01,-0.027191588142792707,0.2707487465992583
2017,5,10088531,16341810,30152965.990000002,169117704.52000785,2017-05-01,-0.006931912516796476,0.37044031306131603
2017,6,9638034,15652257,28697044.42,160435932.32000694,2017-06-01,-0.10462756333228344,0.2186410074679229
2017,7,8548804,14029622,25687651.19,139941715.84000513,2017-07-01,-0.34084008802779275,-0.13969687086809482
2017,8,8408728,13743532,25455440.970000003,138520038.9100051,2017-08-01,-0.37121724033653214,-0.1645546494161348
2017,9,8919976,14516559,26730552.740000002,148982044.02000585,2017-09-01,-0.2603470101505019,0.018371724857136132
2017,10,9719241,15716665,28814890.320000004,162804786.46000725,2017-10-01,-0.0870168562337384,0.2600600179211163
2017,11,9259389,14915172,26810774.17,152688641.02000627,2017-11-01,-0.186741250444584,0.08318094096563508
2017,12,9479375,15474587,26921624.160000004,153436042.3400071,2017-12-01,-0.13903466096608422,0.0962491255208229
2018,1,8687028,13950636,24340591.700000003,134528720.8900046,2018-01-01,-0.31086456402137347,-0.2343421639789342
2018,2,8475550,13528967,23467874.800000004,131158695.16000435,2018-02-01,-0.3567260921628651,-0.2932664888588076
2018,3,9411604,15070329,26952554.060000002,150254385.810006,2018-03-01,-0.15373161111540012,0.04061840396252154
