name,party_chr,party_num,state,district,partisanship
"CURRY, DAVID",Republican,1,GA,10,0.9357408070854352
"CURTIS, JOHN",Republican,1,UT,3,0.15595458688028074
"DANIELS, SHAMAINE MS",Democrat,0,PA,10,0.7979572223802238
"DARLING, KATIE DARLING",Democrat,0,LA,1,0.8445812744727578
"DAVIDSON, WARREN",Republican,1,OH,8,0.8953798281058283
"DAVIS, CICELY",Republican,1,MN,5,0.910065290757279
"DAVIS, DANNY K. MR.",Democrat,0,IL,7,0.7845732182279719
"DAVIS, DON",Democrat,0,NC,1,0.8435359161575824
"DAVIS, RODNEY L",Republican,1,IL,15,0.914181499949841
"DAVIS, TASHI",Democrat,0,MD,7,0.6566271558384236
"DE BLASIO, BILL",Democrat,0,NY,10,0.7020337056310906
"DE LA CRUZ, MONICA",Republican,1,TX,15,0.9304068039090734
"DEAN, KATIE",Democrat,0,NC,11,0.8325859316275759
"DEAN, MADELEINE",Democrat,0,PA,4,0.8773618903696402
"DEERING, REGAN",Republican,1,IL,13,0.941663148425645
"DEFAZIO, PETER A",Democrat,0,OR,4,0.828985418808873
"DEGETTE, DIANA L",Democrat,0,CO,1,0.8494902361975465
"DEITCH, DOUGLAS",Democrat,0,CA,19,0.8199445367440064
"DELAURO, ROSA L",Democrat,0,CT,3,0.866450114577743
"DELGADO, ANTONIO",Democrat,0,NY,19,0.893116385717932
"DELLA PIA, MAX",Democrat,0,NY,23,0.5049090675666192
"DELUZIO, CHRISTOPHER",Democrat,0,PA,17,0.84556873989394
"DELUZIO, MARK",Republican,1,AZ,2,0.9096646607083141
"DENNIS, JOHN MR.",Republican,1,CA,11,0.9472083430733191
"DESAULNIER, MARK",Democrat,0,CA,10,0.8816499402041005
"DESJARLAIS, SCOTT HON.",Republican,1,TN,4,0.9328587468682676
"DESPOSITO, ANTHONY P",Republican,1,NY,4,0.8414110008408233
"DINGELL, DEBBIE",Democrat,0,MI,6,0.8518909628473643
"DODGE, DANELLE",Democrat,0,FL,8,0.6496210674479623
"DOGGETT, LLOYD",Democrat,0,TX,37,0.8506505017677668
"DONALDS, BYRON",Republican,1,FL,19,0.9360002057698227
"DORILAS, ROD MR.",Republican,1,FL,22,0.9362857512609195
"DORRIS, DALE WILLIAM MR. II",Democrat,0,IN,9,0.5589123058483103
"DUKE, BRADY",Republican,1,FL,7,0.9327617667055723
"DUNCAN, JEFFREY D MR.",Republican,1,SC,3,0.9188462019611099
"DUNN, NEAL PATRICK MD, FACS",Republican,1,FL,2,0.8574397160974601
"EARHART, ERIC JASON PASTOR",Republican,1,NC,3,0.945958973792189
"EDWARDS, CHUCK",Republican,1,NC,11,0.8676497245094075
"EDWARDS, DONNA F",Democrat,0,MD,4,0.8625010505499494
"EHASZ, ASHLEY",Democrat,0,PA,1,0.8942906604789448
"ELIZONDO, DARIAN J",Republican,1,CA,2,0.8896357435989455
"ELLER, RON",Republican,1,MS,2,0.8776930040805271
"ELLIS, JAMESON",Republican,1,TX,2,0.8327998504330243
"ELLISON, ALLEN",Democrat,0,FL,23,0.3609476770825435
"ELLMERS, RENEE JACISIN",Republican,1,NC,13,0.4601680719049286
"EMMER, THOMAS EARL JR.",Republican,1,MN,6,0.8514742224876843
"ESCOBAR, VERONICA",Democrat,0,TX,16,0.7987060035111948
"ESHOO, ANNA G",Democrat,0,CA,16,0.8670581828641925
"ESPAILLAT, ADRIANO",Democrat,0,NY,13,0.8467029039076049
"ESRATI, DAVID",Democrat,0,OH,10,0.40416873689579935
"ESTES, RON",Republican,1,KS,4,0.9191524033015019
"EVANS, DWIGHT",Democrat,0,PA,3,0.8633335708557923
"EZELL, WALTER MICHAEL",Republican,1,MS,4,0.895750302862165
"FALLON, PATRICK",Republican,1,TX,4,0.9075953763947793
"FEENSTRA, RANDALL",Republican,1,IA,4,0.9039907134722938
"FEHER, BRENT",Republican,1,KY,2,0.8966486151145763
"FIGLIOLA, ANTHONY M",Republican,1,NY,1,0.8749534293963548
"FINSTAD, BRAD",Republican,1,MN,1,0.8957735616309037
"FISCHBACH, MICHELLE",Republican,1,MN,7,0.941831722580867
"FITZGERALD, SCOTT",Republican,1,WI,5,0.9412739300570683
"FITZPATRICK, BRIAN",Republican,1,PA,1,0.11607485898279513
"FLEISCHMANN, CHARLES J",Republican,1,TN,3,0.9285207829320357
"FLEMING, BRIDGET",Democrat,0,NY,1,0.8844499085330622
"FLETCHER, ELIZABETH",Democrat,0,TX,7,0.8718453336191048
"FORE, JESSICA ALLISON",Democrat,0,GA,10,0.19081748347581862
"FORTE, TINA",Republican,1,NY,14,0.8734942536979153
"FOSTER, G. WILLIAM (BILL)",Democrat,0,IL,11,0.859508272856185
"FRANKEL, LOIS J.",Democrat,0,FL,22,0.8625232731450677
"FRANKLIN, SCOTT MR.",Republican,1,FL,18,0.9281421078042256
"FREMGEN, JAMES LUCAS",Democrat,0,CA,7,0.8267937054249505
"FROST, MAXWELL ALEJANDRO",Democrat,0,FL,10,0.8451291326181642
"FRY, RUSSELL",Republican,1,SC,7,0.8974129950971339
"FULCHER, RUSSELL",Republican,1,ID,1,0.8966472535060381
"FULFORD, ROBIN DAWN",Democrat,0,TX,2,0.5990540321702014
"FUNG, ALLAN",Republican,1,RI,2,0.8988668895438767
"FYFE, MATTHEW JOHN",Democrat,0,IN,9,0.8905283436285062
"GAETZ, MATT",Republican,1,FL,1,0.9009237351018899
"GALLAGHER, MICHAEL JOHN",Republican,1,WI,8,0.9294984358821083
"GARAMENDI, JOHN",Democrat,0,CA,8,0.7827809008815381
"GARBARINO, ANDREW",Republican,1,NY,2,0.9406149344608796
"GARCIA HOLMES, MICHELLE",Republican,1,NM,1,0.9444619472188631
"GARCIA, CASSANDRA",Republican,1,TX,28,0.9019792095428958
"GARCIA, ERIC",Democrat,0,CA,22,0.1827370283630384
"GARCIA, JESUS",Democrat,0,IL,4,0.8942390803046028
"GARCIA, ROBERT",Democrat,0,CA,42,0.7602253817179505
"GARCIA, SYLVIA R",Democrat,0,TX,29,0.8531835063310204
"GASHI, VEDAT",Democrat,0,NY,16,0.6867068333320276
"GAY, DERRIK",Democrat,0,TX,24,0.5719667994218952
"GEELS, COURTNEY JOELE",Republican,1,NC,4,0.8800018043554583
"GEIST, TIMOTHY DAVID",Republican,1,CA,1,0.8907069623211441
"GELLER, EDDIE",Democrat,0,FL,15,0.0328410594966867
"GIBBS, JOHN",Republican,1,MI,3,0.8859286363498793
"GIBSON, COREY",Republican,1,WA,4,0.905585726497169
"GIGLIO, DAVID ANTHONY",Republican,1,CA,13,0.8828901512460867
"GILBERT, MADISON GESIOTTO",Republican,1,OH,13,0.9418433710466738
"GILES, DAVID VICTOR",Republican,1,AZ,4,0.9068855953597996
"GIMENEZ, CARLOS",Republican,1,FL,28,0.9363426525981122
"GITAU, BENSON",Republican,1,TX,7,0.9091456335526531
"GLUESENKAMP PEREZ, MARIE",Democrat,0,WA,3,0.886803909776678
"GOHMERT, LOUIS",Republican,1,TX,1,0.942414293449942
"GOLDMAN, DANIEL",Democrat,0,NY,10,0.5310784988498114
"GOMEZ, JIMMY",Democrat,0,CA,34,0.8950263784582109
"GONSALVES, MARK",Republican,1,GA,7,0.9357476052840705
"GONZALES, CAESAR",Republican,1,GA,13,0.8041416093471916
"GONZALES, ERNEST ANTHONY TONY II",Republican,1,TX,23,0.8976622971911703
"GONZALEZ, VICENTE",Democrat,0,TX,34,0.7850561664792743
"GOOD, ROBERT G. HON.",Republican,1,VA,5,0.9432278099163904
"GOODEN, LANCE",Republican,1,TX,5,0.8977477784656656
"GORDON, JACQUELINE",Democrat,0,NY,2,0.8474351222164668
"GORMAN, JEFF",Republican,1,CA,19,0.9191261841358493
"GOSAR, PAUL DR.",Republican,1,AZ,9,0.9413122453866101
"GOTTHEIMER, JOSH",Democrat,0,NJ,5,0.8428084340443251
"GRANGER, KAY",Republican,1,TX,12,0.8886053126423323
"GRAVES, GARRET",Republican,1,LA,6,0.8967937497639653
"GRAVES, SAMUEL B. JR.",Republican,1,MO,6,0.9016129307466783
"GRAY, MOLLY",Democrat,0,VT,0,0.8934345736968647
"GRAYSON, ALAN MARK",Democrat,0,FL,10,0.07030116650263041
"GREEN, JENNIFER-RUTH",Republican,1,IN,1,0.8989613593194381
"GREEN, MARK DR.",Republican,1,TN,7,0.9328845441883886
"GRIFFITH, H MORGAN",Republican,1,VA,9,0.8942799455487318
"GRIJALVA, RAUL M",Democrat,0,AZ,7,0.8496545130689283
"GROTHMAN, GLENN S.",Republican,1,WI,6,0.9322033321239396
"GUEST, MICHAEL PATRICK",Republican,1,MS,3,0.9398757256245738
"GUSTAFSON, CLAIRE H.",Republican,1,NJ,1,0.8894194787593999
"GUTHRIE, S. BRETT HON.",Republican,1,KY,2,0.8652459075851362
"HAGEMAN, HARRIET",Republican,1,WY,0,0.9351591570734716
"HALE, MERRITT",Republican,1,VA,6,0.9470457973028961
"HAMDAN, BENINE",Republican,1,NY,10,0.8955071766731568
"HAMILTON, JANE HOPE",Democrat,0,TX,30,0.6246590535138252
"HANIFAN, TIMOTHY R.",Democrat,0,NV,2,0.8927788970588537
"HANSEL, GEORGE",Republican,1,NH,2,0.8825436613568804
"HANSON, MEAGAN MYERS",Republican,1,GA,6,0.8943427570339058
"HARBIN, BLAKE",Republican,1,GA,6,0.9423914629406664
"HARDEN, R. DAVID",Democrat,0,MD,1,0.03574220755686297
"HARMAN, MATTHEW S",Democrat,0,OH,7,0.8299185141289122
"HARMON, MARK DESMOND DR.",Democrat,0,TN,2,0.8484832710020778
"HARRIS, KEVIN COREY",Democrat,0,FL,24,0.24769877575393506
"HARRIS-TILL, JOSHUA",Democrat,0,OK,5,0.7887083981864641
"HARSHAW, RONALD",Democrat,0,MO,1,0.39172651754469645
"HARSHBARGER, DIANA",Republican,1,TN,1,0.9141150775890672
"HARTZLER, VICKY",Republican,1,MO,4,0.9095208626971554
"HATHAWAY, QUINTESSA DR.",Democrat,0,AR,2,0.8346911073683516
"HAWKINS, BRIAN",Republican,1,CA,25,0.5907696959141324
"HAYES, JAHANA",Democrat,0,CT,5,0.890662368510142
"HAYSLETT, KEVIN",Republican,1,FL,13,0.9207756298527703
"HEALEY, ROBERT JR",Republican,1,NJ,3,0.9099205656983989
"HENG, ELIZABETH",Republican,1,CA,22,0.7056781896224307
"HENLEY, JOHN ALLEN",Republican,1,VA,10,0.9182905538198087
"HERN, KEVIN",Republican,1,OK,1,0.9278484708771106
"HERNANDEZ, DANIEL",Democrat,0,AZ,6,0.8882335403547673
"HERRERA BEUTLER, JAIME",Republican,1,WA,3,0.11115442346565119
"HESS, ROBERTO LUIS MR.",Democrat,0,NC,11,0.8595224670194227
"HIGGINS, BRIAN",Democrat,0,NY,26,0.8494852357834359
"HIGGINS, CLAY CAPTAIN",Republican,1,LA,3,0.9094172484971743
"HILL, JAMES FRENCH",Republican,1,AR,2,0.9436522369308817
"HILL, TARTISHA A MRS.",Democrat,0,TX,5,0.8312939737332633
"HIMES, JIM",Democrat,0,CT,4,0.4506190562331588
"HOGGATT, ""HOLDEN""",Republican,1,LA,3,0.3095964066576882
"HOLLIER, ADAM",Democrat,0,MI,13,0.907734026784031
"HOLLOWAY, LASHONDA J",Democrat,0,FL,4,0.8334143804993734
"HOLMAN LEAK, BARRETT",Democrat,0,CA,51,0.7615498398125887
"HOLNESS, DALE V.C. MR.",Democrat,0,FL,20,0.6890925506515249
"HOLTZMAN, ELIZABETH",Democrat,0,NY,10,0.848615787182585
"HOOPER, JAMES D",Republican,1,MI,12,0.4848209183587522
"HOULAHAN, CHRISSY",Democrat,0,PA,6,0.8482073621030253
"HOULAHAN, STEPHEN WILLIAM",Democrat,0,CA,48,0.8938156278120355
"HOWARD, TAFFY",Republican,1,SD,0,0.909751190326556
"HOYLE, VALERIE",Democrat,0,OR,4,0.8473840362167918
"HUDSON, RICHARD L. JR.",Republican,1,NC,9,0.8968776747303284
"HUFF BROWN, GAIL",Republican,1,NH,1,0.9188968032432583
"HUFF, JIM",Republican,1,FL,19,0.5783825952006105
"HUFFMAN, JARED",Democrat,0,CA,2,0.8683096055381178
"HUFFMAN, SCOTT",Democrat,0,NC,8,0.6898590438708778
"HULLIHAN, JONATHAN KEITH",Republican,1,TX,8,0.918147265051543
"HUNSAKER, JAKE",Republican,1,UT,4,0.6189182726232438
"HUNT, TREY JOSEPH",Democrat,0,TX,12,0.8323951904562217
"HUNT, WESLEY",Republican,1,TX,38,0.9196002059662398
"HYNES, RANDELL SCOTT",Democrat,0,NV,3,0.21296035046495798
"IMAM, DONNA",Democrat,0,TX,37,0.5365404114187938
"IRWIN, STEVEN",Democrat,0,PA,12,0.7695525669376249
"ISEMANN, JOHN HENRY",Republican,1,NJ,7,0.6092874663192291
"IYER, STEVE",Republican,1,CA,14,0.8974845667121469
"JACKSON, JEFF",Democrat,0,NC,14,0.8480303823264967
"JACKSON, JONATHAN",Democrat,0,IL,1,0.8516896364995653
"JACKSON, NATALIE",Democrat,0,FL,10,0.7898609225320351
"JACKSON, RONNY LYNN",Republican,1,TX,13,0.9172315466371681
"JACOBS, CHRISTOPHER L.",Republican,1,NY,23,0.9210218737947315
"JACOBS, MATTHEW",Republican,1,CA,26,0.5418594978707247
"JACOBS, SARA",Democrat,0,CA,51,0.8589162561857898
"JAMES, JOHN",Republican,1,MI,10,0.939950921286093
"JAYAPAL, PRAMILA",Democrat,0,WA,7,0.8537786149178024
"JEFFERSON, JRMAR",Democrat,0,TX,1,0.1040074721577251
"JENKINS, JONATHAN JENKINS",Republican,1,MD,6,0.16443363280023604
"JENSEN, JESSE",Republican,1,WA,8,0.9476234979870728
"JETTE, MATTHEW DR.",Republican,1,MT,1,0.8960322868273811
"JOHNSON, BILL",Republican,1,OH,6,0.9118787651633853
"JOHNSON, DUSTY",Republican,1,SD,0,0.46562141864476114
"JOHNSON, HENRY C. 'HANK'",Democrat,0,GA,4,0.8945019520592198
"JOHNSON, JAMES MICHAEL",Republican,1,LA,4,0.9226307575940216
"JOHNSON, LEIF D",Republican,1,WA,2,0.8882376391782723
"JONES, HERBERT CARROLL JR",Democrat,0,VA,1,0.7086130318581805
"JONES, KERMIT",Democrat,0,CA,3,0.8675437072084875
"JONES, LAURA",Democrat,0,TX,8,0.7242929442667774
"JONES, MONDAIRE",Democrat,0,NY,10,0.8628492475001931
"JORDAN, JAMES D.",Republican,1,OH,4,0.8975274577623162
"JOY, ELIZABETH L",Republican,1,NY,20,0.6281730433119104
"JOYCE, DAVID P.",Republican,1,OH,14,0.6274044087066921
"JOYCE, JOHN",Republican,1,PA,13,0.8991025803482957
"JUDGE, JAMES",Republican,1,FL,14,0.8966122707772239
"KALLOCH, ANDREW",Democrat,0,OR,4,0.8442530879257236
"KAPTUR, MARCY HON. M.C.",Democrat,0,OH,9,0.5553064687669642
"KASPAR, SCOTT RICHARD",Republican,1,IL,6,0.8969389337356315
"KATKO, JOHN M",Republican,1,NY,24,0.8924262846291788
"KEAN, THOMAS H. JR.",Republican,1,NJ,7,0.8875535378165802
"KEATING, WILLIAM R",Democrat,0,MA,9,0.8738414148468168
"KELLY, GEORGE J JR",Republican,1,PA,16,0.9127658077388696
"KELLY, ROBIN",Democrat,0,IL,2,0.8944257202605794
"KELTIE, REBECCA",Republican,1,CO,5,0.8841352471445376
