"job_id","job_title","location","salary_currency","salary_min","salary_max","website","highest_ed","years_exp","continent","country","skills"
"41832","manager data science","South Africa","USD",30000,57000,"ai-jobs.net",NA,4,"Africa","South Africa","Architecture, Business Intelligence, Classification, Data analysis, Data Mining, Engineering, ETL, Machine Learning, Power BI, R, SAS, Statistics, Tableau, .NET, Statistical analysis, Unstructured data, Data visualization, Project management, Data science, SPSS"
"41826","senior data engineer data warehouse","India","USD",115000,180000,"ai-jobs.net","master",8,"Asia","India","Agile, Architecture, CI/CD, Data analysis, Data pipelines, Data warehouse, Engineering, ETL, Hadoop, MS SQL, MySQL, Pipelines, RDBMS, SQL, Data integration, Data engineering, Leadership, Data validation, Scripting, Automation, Problem solving, Travel"
"41831","senior manager data analytics internal audit","United States","USD",44000,81000,"ai-jobs.net","master",8,"Americas","United States","Computer Science, Data analysis, Data Analytics, Data warehouse, Engineering, Mathematics, Oracle, Power BI, Robotics, RPA, SQL, SSIS, STEM, Tableau, Travel, Microsoft SQL Server, Automation, Project management, Leadership, T-SQL, Data visualization, Oracle Database, Communication"
"41815","it product manager master data management","Poland","USD",62000,115000,"ai-jobs.net","master",5,"Europe","Poland","APIs, Computer Science, Data management, Engineering, ITIL, Spark, Collaboration"
"41820","sr data analyst onsitehybrid","United States","USD",92000,130000,"ai-jobs.net","phd",10,"Americas","United States","Architecture, Banking, Consulting, Data analysis, Data management, Data warehouse, Finance, MS SQL, PhD, RDBMS, SQL, Automation, UX, Problem solving, Leadership, Travel"
"41819","sr manager customer data science","United States","USD",176000,228000,"ai-jobs.net","master",4,"Americas","United States","Airflow, APIs, Data Analytics, Data visualization, Looker, Predictive modeling, Python, R, SAS, SQL, Statistics, Data science, Automation, Scripting, Programming, Tableau"
"41824","manager data engineering","India","USD",115000,180000,"ai-jobs.net","master",8,"Asia","India","Agile, APIs, Architecture, Big Data, Business Intelligence, CI/CD, Data analysis, Data pipelines, Data visualization, DevOps, Engineering, ETL, Hadoop, Informatica, Kafka, KPIs, Machine Learning, Microservices, MS SQL, Open Source, Pentaho, Pipelines, Power BI, Python, Robotics, RPA, Scrum, Spark, SQL, SSIS, Collaboration, Automation, Data engineering, Tableau, Data processing, Communication"
"41825","staff data engineer analytics","India","USD",115000,180000,"ai-jobs.net","master",10,"Asia","India","Architecture, Azure, Business Intelligence, Clustering, Data analysis, Data governance, Data Mining, Data pipelines, Data visualization, Engineering, ETL, Pipelines, Power BI, Qlik, Scrum, Security, SQL, Statistical modeling, Statistics, Tableau, Data engineering, Communication, Decision trees, Business acumen, Collaboration"
"41836","sr data analyst","Costa Rica","USD",92000,130000,"ai-jobs.net","master",NA,"Americas","Costa Rica","Agile, Engineering, Excel, Finance, Power BI, Python, R, RDBMS, Snowflake, SQL, Curiosity, Business acumen, Predictive analytics, Leadership, Tableau, Data visualization, Data engineering, Data science, Communication, Problem solving, Project management"
"41821","senior data analytics auditor","United States","USD",89000,123000,"ai-jobs.net","bachelor",NA,"Americas","United States","Computer Science, Data Analytics, Finance, Mathematics, Travel, Data science, Statistics"
"41823","data analyst","Spain","USD",92000,130000,"ai-jobs.net","master",5,"Europe","Spain","A/B testing, Angular, APIs, Architecture, Big Data, BigQuery, Data management, Data Studio, GCP, Google Cloud, Looker, Node.js, Qlik, React, SQL, Collaboration, Optimization, Google Analytics, Travel"
"41818","senior machine learning engineer modeling risk","United States","USD",142000,204000,"ai-jobs.net","phd",5,"Americas","United States","Architecture, Banking, Blockchain, Classification, Computer Science, Crypto, Deep Learning, Engineering, Git, Linux, Machine Learning, Mathematics, ML models, NLP, NoSQL, NumPy, Pandas, PhD, Physics, Python, PyTorch, Research, Scikit-learn, SQL, Statistics, Reinforcement learning, Natural Language Processing, Optimization, Collaboration, TensorFlow, Command line, C, Open Source"
"41786","aws data engineer advisor","United States","USD",63000,117000,"ai-jobs.net","bachelor",6,"Americas","United States","Architecture, AWS, Data governance, Data pipelines, Data visualization, Data Warehousing, Engineering, ETL, Finance, Lambda, Pipelines, Python, QuickSight, Redshift, Security, Shell scripting, SQL, Data storage, Data processing, Data security, Collaboration, Communication, Optimization, Data engineering, Programming, Data modeling, Tableau, Problem solving"
"41781","senior machine learning engineer financial crimes technology","United States","USD",142000,204000,"ai-jobs.net",NA,NA,"Americas","United States","Banking, Blockchain, Computer Science, Crypto, Engineering, Finance, Machine Learning, Mathematics, ML infrastructure, MLOps, Physics, Security, Statistics, Curiosity, Communication, C, Open Source"
"41785","snowflake data engineer remote job","Peru","USD",73000,120000,"ai-jobs.net",NA,8,"Americas","Peru","Athena, AWS, BigQuery, DynamoDB, FiveTran, Git, MongoDB, Oracle, PostgreSQL, Python, Snowflake, SQL, Communication, Git version control, Tableau, Data integration"
"41799","marketing data analyst","United States","USD",121000,185000,"ai-jobs.net",NA,5,"Americas","United States","Banking, Blockchain, Business Analytics, Crypto, DataOps, Data pipelines, Engineering, Pipelines, Collaboration, Data science, SQL, C, Open Source"
"41810","senior data engineer","Poland","USD",115000,180000,"ai-jobs.net",NA,3,"Europe","Poland","Agile, Architecture, Data Analytics, Data warehouse, DevOps, ELT, Engineering, ETL, Git, MySQL, OLAP, Oracle, PostgreSQL, Power BI, Python, R, Scala, Spark, SQL, SSIS, Automation, Collaboration, Data engineering, Microsoft SQL Server, T-SQL, Optimization"
"41816","senior software engineer big data","Singapore","USD",55000,102000,"ai-jobs.net","master",2,"Asia","Singapore","Agile, API Development, APIs, Big Data, Business Intelligence, Computer Science, Data governance, Data visualization, Engineering, Hadoop, Kafka, Open Source, R, R&D, Spark, SQL, Tableau, TDD, Testing, Automation, Data processing, Business acumen, Data engineering, Collaboration, Travel"
"41790","data scientist london emea research team dh","United Kingdom","USD",129000,185000,"ai-jobs.net",NA,NA,"Europe","United Kingdom","Consulting, Data analysis, Industrial, Project management, Research"
