,word,value
684,hardworking,-2
685,hearts,-2
686,honest,-2
687,immediately,-2
688,importantly,-2
689,inauguration,-2
690,information,-2
691,intimidate,-2
692,iraqs,-2
693,joining,-2
694,judges,-2
695,liability,-2
696,lowincome,-2
697,medicare,-2
698,message,-2
699,moral,-2
700,oppressed,-2
701,ownership,-2
702,peoples,-2
703,phase,-2
704,positive,-2
705,power,-2
706,promised,-2
707,quickly,-2
708,repeal,-2
709,replace,-2
710,represent,-2
711,represented,-2
712,respected,-2
713,sanctions,-2
714,saudi,-2
715,signed,-2
716,sovereignty,-2
717,surprised,-2
718,texas,-2
719,travel,-2
720,unfair,-2
721,witnessed,-2
722,wonderful,-2
723,wrote,-2
724,badly,-2
725,bannon,-2
726,disadvantage,-2
727,friendly,-2
728,harold,-2
729,jobkilling,-2
730,protest,-2
731,putin,-2
732,reporters,-2
733,tennessee,-2
734,advantage,-3
735,allowed,-3
736,alqaida,-3
737,announced,-3
738,benefit,-3
739,bless,-3
740,borders,-3
741,broken,-3
742,build,-3
743,business,-3
744,businesses,-3
745,chaos,-3
746,choice,-3
747,civilized,-3
748,commitments,-3
749,compassionate,-3
750,compete,-3
751,correct,-3
752,couple,-3
753,danger,-3
754,death,-3
755,decades,-3
756,declared,-3
757,deliver,-3
758,desire,-3
759,determined,-3
760,dictator,-3
761,disarm,-3
762,disaster,-3
763,elected,-3
764,election,-3
765,encourage,-3
766,expected,-3
767,focus,-3
768,forgotten,-3
769,found,-3
770,friends,-3
771,giving,-3
772,governor,-3
773,happened,-3
774,happy,-3
775,heard,-3
776,highway,-3
777,honored,-3
778,hopes,-3
779,illegal,-3
780,income,-3
781,innocent,-3
782,inspectors,-3
783,israel,-3
784,killers,-3
785,leaving,-3
786,manufacturing,-3
787,medicine,-3
788,mexico,-3
789,morning,-3
790,muslim,-3
791,negotiate,-3
792,officials,-3
793,oppression,-3
794,palestinian,-3
795,peaceful,-3
796,period,-3
797,personal,-3
798,plants,-3
799,pouring,-3
800,prayers,-3
801,prescription,-3
802,pride,-3
803,process,-3
804,produce,-3
805,production,-3
806,promises,-3
807,reforms,-3
808,regulation,-3
809,representative,-3
810,resolution,-3
811,retirement,-3
812,ronald,-3
813,security,-3
814,serve,-3
815,signs,-3
816,sources,-3
817,starting,-3
818,supposed,-3
819,takes,-3
820,taliban,-3
821,theyve,-3
822,thousands,-3
823,threat,-3
824,totally,-3
825,treatment,-3
826,understand,-3
827,unite,-3
828,uranium,-3
829,victims,-3
830,watch,-3
831,whats,-3
832,worker,-3
833,world,-3
834,anymore,-3
835,audience,-3
836,charlottesville,-3
837,classified,-3
838,deals,-3
839,factories,-3
840,fantastic,-3
841,guess,-3
842,happening,-3
843,inaudible,-3
844,ivanka,-3
845,kelly,-3
846,leaks,-3
847,mattis,-3
848,neonazis,-3
849,pipelines,-3
850,restrictions,-3
851,steel,-3
852,theyll,-3
853,account,-4
854,agreement,-4
855,americas,-4
856,attacks,-4
857,billions,-4
858,border,-4
859,bring,-4
860,called,-4
861,calling,-4
862,character,-4
863,cities,-4
864,citizens,-4
865,coalition,-4
866,coming,-4
867,commitment,-4
868,companies,-4
