,date_created,username,verified_status,tweet_id,likes,views,replies,retweets,source,language,retweeted_id,quoted_id,text
225,2020-01-01 17:58:31+00:00,RepLoriTrahan,True,1212432932746473472,4,,0,1,Twitter for iPhone,en,,,"I am proud of the work we’ve done over the past 12 months — all of which directly impacts our community. As we enter 2020, we are more energized than ever to get to work for #MA3! https://t.co/1oNFNmqqF0"
226,2020-01-01 17:57:15+00:00,RepLoriTrahan,True,1212432614117838848,13,,0,1,Twitter for iPhone,en,,,"Starting 2020 off the right way! I am thankful everyday for all those brave first responders who step up to serve our communities and keep us safe. 
https://t.co/Huyw4EE5ky"
227,2020-01-01 14:15:00+00:00,RepHaleyStevens,True,1212376680834256899,36,,8,2,TweetDeck,en,,,Happy New Year! Looking forward to another amazing year serving Michigan’s 11th District. https://t.co/9CsrCivyAy
228,2020-01-01 15:30:43+00:00,VoteHamCoBOE,True,1212395735850921984,2,,0,3,Hootsuite Inc.,en,,,NOW accepting Absentee Applications for voting by mail for all elections in 2020. Click link for more information https://t.co/d7sVsKemh6. A separate application is required for each election https://t.co/7my9Y4OCsy
229,2020-01-01 12:30:35+00:00,VoteHamCoBOE,True,1212350403880325121,0,,0,0,Hootsuite Inc.,en,,,"Board of Elections offices will be closed TODAY, Jan 1 to observe New Year’s Day https://t.co/ynjvkzNJrp"
230,2020-01-01 23:00:00+00:00,RepSusieLee,True,1212508803188568070,19,,4,3,TweetDeck,en,,,Happy last day of Kwanzaa to all those celebrating! I hope the holiday brought fulfillment and joy to you and your family.
231,2020-01-01 07:00:00+00:00,RepSusieLee,True,1212267211773091840,78,,11,8,TweetDeck,en,,,"One year ago, I was sent to Congress by my constituents for one reason: fight #ForThePeople. With over 400 passed bills, dozens of hearings and countless calls with constituents—we going to keep up our fight in 2020. #HappyNewYear #NV03! https://t.co/YqvCvxZUDV"
232,2020-01-01 04:00:00+00:00,RepSusieLee,True,1212221911847096325,56,,5,6,TweetDeck,en,,,Still can’t believe my 2019 started off like this. I’m so humbled by the opportunity to serve #NV03 in Congress. I promise I’ll keep working just as hard in 2020. https://t.co/eQOjKizFmM
233,2020-01-01 00:00:00+00:00,RepSusieLee,True,1212161514465091586,1,,0,2,TweetDeck,en,,,"Stop by #TeamLee’s upcoming mobile office hours on Saturday, January 18th at the Sandy Valley Senior Center! 
https://t.co/AT6Z26HbTl"
234,2020-01-01 16:54:34+00:00,RepTimmons,True,1212416839722131457,13,,3,1,Twitter for iPhone,en,,,"Happy New Year! During the busy holiday season, I enjoy making time to reflect on things I am grateful for including my family, our community, and the opportunity to represent you in Congress. 

It is an honor to serve you. https://t.co/lWGGze6hm8"
235,2020-01-01 15:00:00+00:00,RepCarolMiller,True,1212388005802962944,17,,3,1,TweetDeck,en,,,"Happy New Year! I am excited to continue our work in this new year, and decade, to make #WV03 an even better place to live, work, and raise a family!"
236,2020-01-01 17:52:25+00:00,FCVOTES,False,1212431396335214597,0,,0,0,IFTTT,en,,,"RT NCSBE ""Happy New Year from the State Board of Elections! We're here to help with your voting-related resolutions:

Register to vote: https://t.co/Vkok0nArvX
Check your registration: https://t.co/nt0gTeSE99
Get Involved: https://t.co/KBnzRSTkB5 https://t.co/qsBa6P4Z8g"""
237,2020-01-01 14:11:59+00:00,SenHawleyPress,True,1212375924496326658,41,,10,5,Twitter Media Studio,en,,,An incredible year of accomplishments. And he’s just getting started. #HappyNewYear https://t.co/xEUz1Snvuf
238,2020-01-01 16:07:34+00:00,DougBurgum,True,1212405008358088704,73,,2,4,Twitter Web App,en,,,Happy New Year! Wishing you a 2020 filled with gratitude and curiosity! https://t.co/64ADVaTY88
239,2020-01-01 06:01:27+00:00,DougForDakota,True,1212252477535465472,21,,0,5,CoSchedule,en,,,"Happy New Year, North Dakota! https://t.co/A6KaogPRRw"
240,2020-01-01 02:42:45+00:00,GovChrisSununu,True,1212202472137273344,223,,25,42,Twitter for iPhone,en,,,"In just a few hours, the Merrimack tolls will no longer exist — we are zeroing out the Merrimack tolls tonight once and for all. It’s the right thing to do. #HappyNewDecade https://t.co/LeRscMtcq0"
241,2020-01-01 17:31:08+00:00,Sheila4Congress,False,1212426040762654727,2,,0,0,Hootsuite Inc.,en,,https://twitter.com/erniefay/status/1209350872162979841,Happy New Year &amp; thank you for this! I'm grateful to help protect America's families. https://t.co/eoufqQ4He4
242,2020-01-01 10:25:05+00:00,Sheila4Congress,False,1212318820381138944,4,,0,2,Hootsuite Inc.,en,,,"Happy New Year!!! 
Wishing you a happy, healthy, peaceful and prosperous New Year! May you fearlessly create the life you want by chasing the life you seek. 

#SheilaforCongress https://t.co/rUGcXQmyuc"
243,2020-01-01 05:00:58+00:00,Sheila4Congress,False,1212237254019690496,2,,0,2,Hootsuite Inc.,en,,,Happy New Year!!!! https://t.co/d9unxL9KYM
244,2020-01-01 06:00:00+00:00,mikeparson,True,1212252110651371520,39,,1,8,TweetDeck,en,,,Happy New Year from Teresa and me. Our state saw historic growth in 2019 and we are going to work hard to keep it going in 2020! https://t.co/ElSp05GzOA
245,2020-01-01 17:58:32+00:00,GovParsonMO,True,1212432936382980096,101,,40,31,Twitter for iPhone,en,,,"From economic and workforce development to rebuilding our state’s infrastructure, 2019 was an exciting year for Missouri.

We look forward to building upon these successes and moving #MissouriForward in the new year. https://t.co/YgWukWwoeA"
246,2020-01-01 14:29:23+00:00,Surgeon_General,True,1212380303156748288,57,,5,32,Twitter for iPhone,en,,,#HappyNewYear2020! Looking for a resolution? Here are 2️⃣ - #GetNaloxone and learn how to use it! Naloxone can literally mean the difference between life and death. Learn more: https://t.co/8XvGfeLtQF #WednesdayWisdom
247,2020-01-01 05:16:20+00:00,Surgeon_General,True,1212241123290288129,179,,8,25,Twitter for iPhone,en,,,Have a happy and healthy 2020 everyone!
248,2020-01-01 19:43:03+00:00,TomTiffanyWI,True,1212459238259380231,7,,0,1,Twitter for Android,en,,,Today was the Northwoods youth deer hunt challenge banquet. 400 people in attendance including the next generation of sportsmen and women. Kudos to the organizers including the Minocqua Lions club. https://t.co/Eo9NJUbysN
249,2020-01-01 15:40:37+00:00,AugustPfluger,True,1212398227414224902,14,,0,2,Twitter Web App,en,,,"In 2019, I have been blessed to meet and talk with so many wonderful people around our #TX11 community and in 2020, I look forward to earning your vote to represent you in Congress! https://t.co/oBfgFQDmIs"
250,2020-01-01 17:51:30+00:00,JamaalBowmanNY,True,1212431166298624000,82,,0,11,Twitter for iPhone,en,,,Happy new year everyone! https://t.co/QWeX5oL2kk
251,2020-01-01 04:07:47+00:00,JamaalBowmanNY,True,1212223871547592704,28,,1,10,Twitter Web App,en,,,"We have just one hour until our deadline at midnight.

We need just $812 to reach our goal. 

Tonight, I’m asking you to join this people-powered movement by giving what you are able to now. Can I count on you to make your contribution towards our goals?
https://t.co/z8Y2UScNIP"
252,2020-01-01 01:42:03+00:00,JamaalBowmanNY,True,1212187195714539520,16,,1,3,Twitter for iPhone,en,,,"We only have a few hours left until our filing deadline!

Can you give just $6 before midnight to help us reach our goal?
https://t.co/EnxtDErSGH"
253,2020-01-01 01:30:10+00:00,JamaalBowmanNY,True,1212184204714356736,0,,0,0,Twitter for iPhone,en,,,@nikhilgoya_l Honored to have your brilliance support this policy platform. Now let’s make it a reality.
254,2020-01-01 00:38:21+00:00,JamaalBowmanNY,True,1212171167240531974,14,,0,3,Twitter for iPhone,en,,,"A huge victory for @MaketheRoadNY and many others for their grassroots efforts on behalf of those in the most vulnerable industries. 

This should be a federal policy along with a national $15.00 minimum wage. 

https://t.co/cM8hmXxVOI"
255,2020-01-01 01:30:08+00:00,TransportDems,True,1212184195218464768,4,,2,1,Twitter for iPhone,en,,,"2019 was a busy and productive year for the Committee’s work #ForThePeople. We held 47 hearings, 5 roundtables, 7 markups, heard from 294 witnesses, and passed 27 bills through the House! Happy New Year!"
256,2020-01-01 19:13:20+00:00,CAgovernor,True,1212451761560027136,63,,9,50,Twitter Media Studio,en,,,"It's January 1 and that means many new California laws take effect today! 

Here are some that you need to know about. 🎥⏯ https://t.co/MbQelYZZwA"
257,2020-01-01 01:32:27+00:00,CAgovernor,True,1212184778503413760,5,,1,1,Twitter for iPhone,en,,,"Child care providers help California’s economy by allowing working families &amp; parents to work!
This year, @GavinNewsom signed @AsmMoniqueLimon’s #AB378 to give child care workers the right to join a union and collectively bargain with the state. #CaliforniaForAll https://t.co/sqB1b5Rbjr"
258,2020-01-01 01:24:14+00:00,CAgovernor,True,1212182710208233473,10,,3,1,Twitter for iPhone,en,,,"Not only did the 2019-20 #CaliforniaForAll budget invest historic amounts in Californians, it also eliminated CA’s wall of debt while saving for a rainy day causing a major credit agency to upgrade California’s credit score. https://t.co/EeKv7ifOgs"
