"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
30353551.6396041,-10913532.2521203,71620635.5313284,-32759006.8787896,93466110.1579978
30353551.6396041,-10960278.8950016,71667382.1742097,-32830499.6996084,93537602.9788166
30353551.6396041,-11006972.7037552,71714075.9829633,-32901911.7176018,93609014.9968099
30353551.6396041,-11053613.8571202,71760717.1363284,-32973243.2061275,93680346.4853357
30353551.6396041,-11100202.5328302,71807305.8120384,-33044494.4370058,93751597.716214
30353551.6396041,-11146738.9076212,71853842.1868293,-33115665.6805309,93822768.9597391
30353551.6396041,-11193223.1572392,71900326.4364474,-33186757.2054833,93893860.4846915
30353551.6396041,-11239655.4564484,71946758.7356566,-33257769.2791417,93964872.5583499
30353551.6396041,-11286035.9790385,71993139.2582467,-33328702.1672944,94035805.4465026
30353551.6396041,-11332364.8978323,72039468.1770405,-33399556.1342512,94106659.4134594
30353551.6396041,-11378642.3846934,72085745.6639016,-33470331.4428548,94177434.7220629
30353551.6396041,-11424868.6105336,72131971.8897417,-33541028.3544921,94248131.6337002
30353551.6396041,-11471043.74532,72178147.0245281,-33611647.1291055,94318750.4083136
30353551.6396041,-11517167.9580827,72224271.2372908,-33682188.0252041,94389291.3044123
30353551.6396041,-11563241.4169217,72270344.6961299,-33752651.2998749,94459754.5790831
30353551.6396041,-11609264.2890143,72316367.5682225,-33823037.2087932,94530140.4880014
30353551.6396041,-11655236.7406219,72362340.0198301,-33893346.0062341,94600449.2854423
30353551.6396041,-11701158.9370972,72408262.2163053,-33963577.9450826,94670681.2242907
30353551.6396041,-11747031.0428911,72454134.3220992,-34033733.2768447,94740836.5560528
30353551.6396041,-11792853.2215595,72499956.5007676,-34103812.2516576,94810915.5308657
30353551.6396041,-11838625.6357702,72545728.9149784,-34173815.1183002,94880918.3975084
30353551.6396041,-11884348.4473097,72591451.7265178,-34243742.1242036,94950845.4034117
30353551.6396041,-11930021.8170896,72637125.0962977,-34313593.5154608,95020696.794669
30353551.6396041,-11975645.9051535,72682749.1843616,-34383369.5368374,95090472.8160456
30353551.6396041,-12021220.8706833,72728324.1498915,-34453070.4317813,95160173.7109895
30353551.6396041,-12066746.872006,72773850.1512142,-34522696.4424324,95229799.7216406
30353551.6396041,-12112224.0665997,72819327.3458079,-34592247.8096329,95299351.0888411
30353551.6396041,-12157652.6111003,72864755.8903085,-34661724.7729367,95368828.0521449
30353551.6396041,-12203032.6613077,72910135.9405158,-34731127.5706191,95438230.8498273
30353551.6396041,-12248364.3721918,72955467.6513999,-34800456.4396862,95507559.7188944
30353551.6396041,-12293647.897899,73000751.1771072,-34869711.6158848,95576814.8950929
30353551.6396041,-12338883.3917584,73045986.6709666,-34938893.333711,95645996.6129191
30353551.6396041,-12384071.0062873,73091174.2854954,-35008001.8264201,95715105.1056283
30353551.6396041,-12429210.8931977,73136314.1724058,-35077037.3260358,95784140.605244
30353551.6396041,-12474303.2034021,73181406.4826102,-35146000.0633586,95853103.3425668
30353551.6396041,-12519348.0870193,73226451.3662275,-35214890.2679756,95921993.5471838
30353551.6396041,-12564345.6933805,73271448.9725887,-35283708.168269,95990811.4474771
30353551.6396041,-12609296.1710347,73316399.4502428,-35352453.9914248,96059557.270633
30353551.6396041,-12654199.6677545,73361302.9469627,-35421127.963442,96128231.2426502
30353551.6396041,-12699056.3305422,73406159.6097504,-35489730.309141,96196833.5883492
30353551.6396041,-12743866.3056349,73450969.584843,-35558261.2521721,96265364.5313803
30353551.6396041,-12788629.7385101,73495733.0177183,-35626721.0150241,96333824.2942323
30353551.6396041,-12833346.7738917,73540450.0530999,-35695109.819033,96402213.0982412
30353551.6396041,-12878017.5557548,73585120.834963,-35763427.8843898,96470531.1635979
30353551.6396041,-12922642.2273316,73629745.5065398,-35831675.4301491,96538778.7093573
30353551.6396041,-12967220.9311166,73674324.2103247,-35899852.6742375,96606955.9534457
